timestamp,face
2024-09-08 20:12:17.605,sadness5
2024-09-08 20:12:27.591,anger5
2024-09-08 20:12:32.594,sadness5
2024-09-08 20:12:37.595,anger5
2024-09-08 20:12:47.593,sadness5
2024-09-08 20:12:57.588,relax5
2024-09-08 20:13:07.599,happy5
2024-09-08 20:13:17.591,happy5
2024-09-08 20:13:27.594,relax5
2024-09-08 20:13:32.595,happy5
2024-09-08 20:13:42.591,relax5
2024-09-08 20:13:47.589,happy5
2024-09-08 20:13:57.599,happy5
2024-09-08 20:14:07.597,relax5
2024-09-08 20:14:17.591,happy5
2024-09-08 20:14:22.590,relax5
2024-09-08 20:14:27.597,happy5
2024-09-08 20:14:37.592,happy5
2024-09-08 20:14:42.598,relax5
2024-09-08 20:14:52.596,relax5
2024-09-08 20:15:02.594,happy5
2024-09-08 20:15:07.599,anger5
2024-09-08 20:15:12.597,relax5
2024-09-08 20:15:22.589,relax5
2024-09-08 20:15:32.596,relax5
2024-09-08 20:15:37.589,happy5
2024-09-08 20:15:47.589,happy5
2024-09-08 20:15:52.593,relax5
2024-09-08 20:16:02.590,relax5
2024-09-08 20:16:12.594,relax5
2024-09-08 20:16:22.592,relax5
2024-09-08 20:16:27.592,happy5
2024-09-08 20:16:32.598,relax5
2024-09-08 20:16:42.593,relax5
2024-09-08 20:16:52.593,relax5
2024-09-08 20:16:57.595,happy5
2024-09-08 20:17:02.596,relax5
2024-09-08 20:17:12.599,relax5
2024-09-08 20:17:22.590,relax5
2024-09-08 20:17:32.591,relax5
2024-09-08 20:17:42.598,relax5
2024-09-08 20:17:52.592,relax5
2024-09-08 20:18:02.595,relax5
2024-09-08 20:18:07.597,happy5
2024-09-08 20:18:12.593,relax5
2024-09-08 20:18:22.592,relax5
2024-09-08 20:18:32.598,relax5
2024-09-08 20:18:42.595,relax5
2024-09-08 20:18:47.599,sadness5
2024-09-08 20:18:57.603,sadness5
2024-09-08 20:19:07.594,sadness5
2024-09-08 20:19:17.592,sadness5
2024-09-08 20:19:27.591,sadness5
2024-09-08 20:19:37.598,sadness5
2024-09-08 20:19:47.595,sadness5
2024-09-08 20:19:57.591,sadness5
2024-09-08 20:20:07.595,sadness5
2024-09-08 20:20:12.593,anger5
2024-09-08 20:20:22.589,sadness5
2024-09-08 20:20:32.589,sadness5
2024-09-08 20:20:42.591,sadness5
2024-09-08 20:20:52.597,sadness5
2024-09-08 20:21:02.589,sadness5
2024-09-08 20:21:12.590,sadness5
2024-09-08 20:21:22.597,sadness5
2024-09-08 20:21:27.591,relax5
2024-09-08 20:21:37.590,relax5
2024-09-08 20:21:47.595,relax5
2024-09-08 20:21:57.595,relax5
2024-09-08 20:22:07.592,relax5
2024-09-08 20:22:17.592,happy5
2024-09-08 20:22:22.591,relax5
2024-09-08 20:22:27.589,happy5
2024-09-08 20:22:37.592,relax5
2024-09-08 20:22:42.592,happy5
2024-09-08 20:22:52.590,relax5
2024-09-08 20:23:02.590,relax5
2024-09-08 20:23:07.589,happy5
2024-09-08 20:23:12.589,relax5
2024-09-08 20:23:22.599,relax5
2024-09-08 20:23:32.588,relax5
2024-09-08 20:23:42.593,happy5
2024-09-08 20:23:47.599,relax5
2024-09-08 20:23:57.591,relax5
2024-09-08 20:24:07.591,happy5
2024-09-08 20:24:17.597,happy5
2024-09-08 20:24:22.593,relax5
2024-09-08 20:24:32.594,relax5
2024-09-08 20:24:42.592,happy5
2024-09-08 20:24:47.589,relax5
2024-09-08 20:24:57.589,relax5
2024-09-08 20:25:07.590,relax5
2024-09-08 20:25:17.590,relax5
2024-09-08 20:25:27.592,relax5
2024-09-08 20:25:37.593,happy5
2024-09-08 20:25:47.590,relax5
2024-09-08 20:25:57.591,relax5
2024-09-08 20:26:07.592,relax5
2024-09-08 20:26:17.588,relax5
2024-09-08 20:26:27.592,relax5
2024-09-08 20:26:37.590,relax5
2024-09-08 20:26:42.593,happy5
2024-09-08 20:26:47.591,relax5
2024-09-08 20:26:57.590,happy5
2024-09-08 20:27:02.593,relax5
2024-09-08 20:27:12.590,happy5
2024-09-08 20:27:17.588,relax5
2024-09-08 20:27:27.593,relax5
2024-09-08 20:27:37.594,relax5
2024-09-08 20:27:47.588,relax5
2024-09-08 20:27:57.593,happy5
2024-09-08 20:28:02.589,relax5
2024-09-08 20:28:12.590,relax5
2024-09-08 20:28:22.589,relax5
2024-09-08 20:28:32.590,relax5
2024-09-08 20:28:42.590,relax5
2024-09-08 20:28:47.589,happy5
2024-09-08 20:28:57.592,happy5
2024-09-08 20:29:07.590,happy5
2024-09-08 20:29:12.591,relax5
2024-09-08 20:29:22.589,relax5
2024-09-08 20:29:32.591,relax5
2024-09-08 20:29:37.592,happy5
2024-09-08 20:29:42.591,relax5
2024-09-08 20:29:52.592,sadness5
2024-09-08 20:30:02.595,sadness5
2024-09-08 20:30:12.592,anger5
2024-09-08 20:30:17.593,relax5
2024-09-08 20:30:27.588,relax5
2024-09-08 20:30:37.593,relax5
2024-09-08 20:30:42.591,sadness5
2024-09-08 20:30:52.592,sadness5
2024-09-08 20:30:57.593,relax5
2024-09-08 20:31:02.592,happy5
2024-09-08 20:31:12.589,relax5
2024-09-08 20:31:22.589,happy5
2024-09-08 20:31:27.589,relax5
2024-09-08 20:31:32.589,happy5
2024-09-08 20:31:37.589,relax5
2024-09-08 20:31:47.590,relax5
2024-09-08 20:31:57.591,relax5
2024-09-08 20:32:07.590,relax5
2024-09-08 20:32:12.592,happy5
2024-09-08 20:32:17.592,relax5
2024-09-08 20:32:27.589,relax5
2024-09-08 20:32:37.591,relax5
2024-09-08 20:32:47.594,relax5
2024-09-08 20:32:57.594,relax5
2024-09-08 20:33:07.599,happy5
2024-09-08 20:33:12.589,relax5
2024-09-08 20:33:22.591,relax5
2024-09-08 20:33:32.589,relax5
2024-09-08 20:33:42.590,relax5
2024-09-08 20:33:47.593,happy5
2024-09-08 20:33:52.589,relax5
2024-09-08 20:34:02.594,relax5
2024-09-08 20:34:12.590,relax5
2024-09-08 20:34:17.589,happy5
2024-09-08 20:34:22.592,relax5
2024-09-08 20:34:27.590,happy5
2024-09-08 20:34:32.593,relax5
2024-09-08 20:34:42.588,relax5
2024-09-08 20:34:52.590,relax5
2024-09-08 20:35:02.592,relax5
2024-09-08 20:35:12.590,relax5
2024-09-08 20:35:22.591,relax5
2024-09-08 20:35:32.593,relax5
2024-09-08 20:35:42.591,happy5
2024-09-08 20:35:47.590,relax5
2024-09-08 20:35:57.588,relax5
2024-09-08 20:36:07.589,relax5
2024-09-08 20:36:17.594,relax5
2024-09-08 20:36:22.588,happy5
2024-09-08 20:36:32.591,relax5
2024-09-08 20:36:42.591,relax5
2024-09-08 20:36:52.590,relax5
2024-09-08 20:37:02.591,relax5
2024-09-08 20:37:07.594,happy5
2024-09-08 20:37:12.595,relax5
2024-09-08 20:37:22.590,relax5
2024-09-08 20:37:32.591,relax5
2024-09-08 20:37:42.594,relax5
2024-09-08 20:37:52.594,relax5
2024-09-08 20:38:02.592,relax5
2024-09-08 20:38:12.597,relax5
2024-09-08 20:38:22.593,relax5
2024-09-08 20:38:32.600,relax5
2024-09-08 20:38:42.605,relax5
2024-09-08 20:38:52.590,relax5
2024-09-08 20:39:02.598,happy5
2024-09-08 20:39:12.593,relax5
2024-09-08 20:39:17.592,happy5
2024-09-08 20:39:22.589,relax5
2024-09-08 20:39:32.593,relax5
2024-09-08 20:39:42.592,happy5
2024-09-08 20:39:47.589,relax5
2024-09-08 20:39:57.597,relax5
2024-09-08 20:40:07.589,relax5
2024-09-08 20:40:17.590,happy5
2024-09-08 20:40:22.595,relax5
2024-09-08 20:40:32.589,relax5
2024-09-08 20:40:42.589,relax5
2024-09-08 20:40:52.595,relax5
2024-09-08 20:41:02.593,relax5
2024-09-08 20:41:12.590,happy5
2024-09-08 20:41:17.591,relax5
2024-09-08 20:41:27.593,happy5
2024-09-08 20:41:32.593,relax5
2024-09-08 20:41:42.589,relax5
2024-09-08 20:41:52.590,relax5
2024-09-08 20:42:02.591,relax5
2024-09-08 20:42:12.589,relax5
2024-09-08 20:42:22.589,relax5
2024-09-08 20:42:32.595,relax5
2024-09-08 20:42:42.592,relax5
2024-09-08 20:42:47.593,happy5
2024-09-08 20:42:52.591,relax5
2024-09-08 20:43:02.591,relax5
2024-09-08 20:43:12.590,relax5
2024-09-08 20:43:22.589,relax5
2024-09-08 20:43:32.592,relax5
2024-09-08 20:43:42.590,relax5
2024-09-08 20:43:52.590,relax5
2024-09-08 20:44:02.592,relax5
2024-09-08 20:44:12.588,relax5
2024-09-08 20:44:22.588,relax5
2024-09-08 20:44:32.589,relax5
2024-09-08 20:44:42.590,relax5
2024-09-08 20:44:52.591,relax5
2024-09-08 20:45:02.590,relax5
2024-09-08 20:45:07.590,happy5
2024-09-08 20:45:12.591,relax5
2024-09-08 20:45:17.590,happy5
2024-09-08 20:45:22.591,relax5
2024-09-08 20:45:32.591,relax5
2024-09-08 20:45:37.590,happy5
2024-09-08 20:45:42.590,relax5
2024-09-08 20:45:52.590,happy5
2024-09-08 20:45:57.595,relax5
2024-09-08 20:46:07.589,relax5
2024-09-08 20:46:17.589,relax5
2024-09-08 20:46:27.592,relax5
2024-09-08 20:46:32.594,happy5
2024-09-08 20:46:37.589,relax5
2024-09-08 20:46:47.595,relax5
2024-09-08 20:46:57.589,relax5
2024-09-08 20:47:07.594,relax5
2024-09-08 20:47:17.592,relax5
2024-09-08 20:47:22.589,happy5
2024-09-08 20:47:27.593,relax5
2024-09-08 20:47:37.591,relax5
