timestamp,face
2023-11-22 06:09:28.171,sadness5
2023-11-22 06:09:38.164,anger5
2023-11-22 06:09:48.164,anger5
2023-11-22 06:09:53.165,sadness5
2023-11-22 06:09:58.169,relax5
2023-11-22 06:10:08.165,relax5
2023-11-22 06:10:18.173,relax5
2023-11-22 06:10:28.169,relax5
2023-11-22 06:10:33.175,happy5
2023-11-22 06:10:43.169,relax5
2023-11-22 06:10:48.165,happy5
2023-11-22 06:10:53.167,relax5
2023-11-22 06:11:03.165,relax5
2023-11-22 06:11:13.164,happy5
2023-11-22 06:11:18.169,relax5
2023-11-22 06:11:23.165,happy5
2023-11-22 06:11:33.168,happy5
2023-11-22 06:11:38.168,relax5
2023-11-22 06:11:43.167,happy5
2023-11-22 06:11:48.164,relax5
2023-11-22 06:11:58.176,happy5
2023-11-22 06:12:03.168,relax5
2023-11-22 06:12:13.166,happy5
2023-11-22 06:12:23.169,happy5
2023-11-22 06:12:28.173,relax5
2023-11-22 06:12:33.172,happy5
2023-11-22 06:12:38.171,relax5
2023-11-22 06:12:48.168,happy5
2023-11-22 06:12:53.171,relax5
2023-11-22 06:13:03.170,relax5
2023-11-22 06:13:13.170,relax5
2023-11-22 06:13:18.167,happy5
2023-11-22 06:13:28.171,relax5
2023-11-22 06:13:38.169,relax5
2023-11-22 06:13:48.170,relax5
2023-11-22 06:13:58.168,relax5
2023-11-22 06:14:03.167,happy5
2023-11-22 06:14:13.165,relax5
2023-11-22 06:14:23.170,relax5
2023-11-22 06:14:28.172,happy5
2023-11-22 06:14:33.165,relax5
2023-11-22 06:14:43.164,relax5
2023-11-22 06:14:48.172,happy5
2023-11-22 06:14:58.167,relax5
2023-11-22 06:15:08.171,relax5
2023-11-22 06:15:13.165,happy5
2023-11-22 06:15:18.175,relax5
2023-11-22 06:15:23.167,happy5
2023-11-22 06:15:28.170,relax5
2023-11-22 06:15:38.167,relax5
2023-11-22 06:15:43.166,happy5
2023-11-22 06:15:48.181,relax5
2023-11-22 06:15:58.169,happy5
2023-11-22 06:16:03.171,relax5
2023-11-22 06:16:13.166,relax5
2023-11-22 06:16:23.168,relax5
2023-11-22 06:16:33.165,relax5
2023-11-22 06:16:43.167,relax5
2023-11-22 06:16:53.166,happy5
2023-11-22 06:16:58.167,relax5
2023-11-22 06:17:08.167,happy5
2023-11-22 06:17:18.179,relax5
2023-11-22 06:17:28.170,happy5
2023-11-22 06:17:33.169,relax5
2023-11-22 06:17:38.168,happy5
2023-11-22 06:17:43.169,relax5
2023-11-22 06:17:53.167,relax5
2023-11-22 06:18:03.168,relax5
2023-11-22 06:18:13.168,relax5
2023-11-22 06:18:23.166,relax5
2023-11-22 06:18:28.167,happy5
2023-11-22 06:18:38.170,relax5
2023-11-22 06:18:48.170,relax5
2023-11-22 06:18:58.169,relax5
2023-11-22 06:19:08.173,relax5
2023-11-22 06:19:18.170,relax5
2023-11-22 06:19:28.182,relax5
2023-11-22 06:19:38.167,relax5
2023-11-22 06:19:43.198,happy5
2023-11-22 06:19:53.170,relax5
2023-11-22 06:20:03.167,happy5
2023-11-22 06:20:08.165,relax5
2023-11-22 06:20:18.172,happy5
2023-11-22 06:20:23.180,relax5
2023-11-22 06:20:28.164,happy5
2023-11-22 06:20:33.168,relax5
2023-11-22 06:20:43.167,relax5
2023-11-22 06:20:48.171,happy5
2023-11-22 06:20:58.167,relax5
2023-11-22 06:21:08.166,relax5
2023-11-22 06:21:13.172,happy5
2023-11-22 06:21:18.170,relax5
2023-11-22 06:21:28.164,relax5
2023-11-22 06:21:38.168,happy5
2023-11-22 06:21:43.168,relax5
2023-11-22 06:21:48.166,happy5
2023-11-22 06:21:53.165,relax5
2023-11-22 06:21:58.182,happy5
2023-11-22 06:22:03.171,relax5
2023-11-22 06:22:08.171,happy5
2023-11-22 06:22:18.164,relax5
2023-11-22 06:22:28.167,relax5
2023-11-22 06:22:38.169,relax5
2023-11-22 06:22:48.170,relax5
2023-11-22 06:22:58.169,happy5
2023-11-22 06:23:03.165,relax5
2023-11-22 06:23:08.168,happy5
