timestamp,face
2025-01-08 19:51:20.117,initial
2025-01-08 19:51:21.006,initial
2025-01-08 19:51:22.005,initial
2025-01-08 19:51:23.001,initial
2025-01-08 19:51:24.005,initial
2025-01-08 19:51:25.005,initial
2025-01-08 19:51:26.002,initial
2025-01-08 19:51:27.008,initial
2025-01-08 19:51:28.009,initial
2025-01-08 19:51:29.009,initial
2025-01-08 19:51:30.005,initial
2025-01-08 19:51:31.008,initial
2025-01-08 19:51:32.008,initial
2025-01-08 19:51:33.005,initial
2025-01-08 19:51:34.007,initial
2025-01-08 19:51:35.006,initial
2025-01-08 19:51:36.005,initial
2025-01-08 19:51:37.005,initial
2025-01-08 19:51:38.007,initial
2025-01-08 19:51:39.004,initial
2025-01-08 19:51:40.002,initial
2025-01-08 19:51:41.003,initial
2025-01-08 19:51:42.001,initial
2025-01-08 19:51:42.999,initial
2025-01-08 19:51:44.001,initial
2025-01-08 19:51:45.006,initial
2025-01-08 19:51:46.007,initial
2025-01-08 19:51:47.002,initial
2025-01-08 19:51:48.004,initial
2025-01-08 19:51:49.007,initial
2025-01-08 19:51:50.004,initial
2025-01-08 19:51:51.004,initial
2025-01-08 19:51:52.005,initial
2025-01-08 19:51:53.006,initial
2025-01-08 19:51:54.005,initial
2025-01-08 19:51:55.007,initial
2025-01-08 19:51:56.005,initial
2025-01-08 19:51:57.001,initial
2025-01-08 19:51:58.005,initial
2025-01-08 19:51:59.005,initial
2025-01-08 19:52:00.001,initial
2025-01-08 19:52:01.006,initial
2025-01-08 19:52:02.005,initial
2025-01-08 19:52:03.005,initial
2025-01-08 19:52:04.005,initial
2025-01-08 19:52:05.004,initial
2025-01-08 19:52:06.007,initial
2025-01-08 19:52:07.001,initial
2025-01-08 19:52:08.004,initial
2025-01-08 19:52:09.006,initial
2025-01-08 19:52:10.002,initial
2025-01-08 19:52:11.004,initial
2025-01-08 19:52:12.005,initial
2025-01-08 19:52:13.009,initial
2025-01-08 19:52:14.005,initial
2025-01-08 19:52:15.006,initial
2025-01-08 19:52:16.007,initial
2025-01-08 19:52:17.000,initial
2025-01-08 19:52:18.005,initial
2025-01-08 19:52:19.007,initial
2025-01-08 19:52:20.009,initial
2025-01-08 19:52:21.005,initial
2025-01-08 19:52:22.006,initial
2025-01-08 19:52:23.007,initial
2025-01-08 19:52:24.001,initial
2025-01-08 19:52:25.005,initial
2025-01-08 19:52:26.006,initial
2025-01-08 19:52:27.004,initial
2025-01-08 19:52:28.006,initial
2025-01-08 19:52:29.004,initial
2025-01-08 19:52:30.005,initial
2025-01-08 19:52:31.002,initial
2025-01-08 19:52:32.005,initial
2025-01-08 19:52:33.002,initial
2025-01-08 19:52:34.004,initial
2025-01-08 19:52:35.004,initial
2025-01-08 19:52:36.004,initial
2025-01-08 19:52:37.011,initial
2025-01-08 19:52:38.003,initial
2025-01-08 19:52:39.005,initial
2025-01-08 19:52:40.005,initial
2025-01-08 19:52:41.001,initial
2025-01-08 19:52:42.005,initial
2025-01-08 19:52:43.005,initial
2025-01-08 19:52:44.004,initial
2025-01-08 19:52:45.007,initial
2025-01-08 19:52:46.004,initial
2025-01-08 19:52:47.006,initial
2025-01-08 19:52:48.005,initial
2025-01-08 19:52:49.006,initial
2025-01-08 19:52:50.004,initial
2025-01-08 19:52:51.000,initial
2025-01-08 19:52:52.006,initial
2025-01-08 19:52:53.005,initial
2025-01-08 19:52:54.004,initial
2025-01-08 19:52:55.007,initial
2025-01-08 19:52:56.006,initial
2025-01-08 19:52:57.007,initial
2025-01-08 19:52:58.001,initial
2025-01-08 19:52:59.007,initial
2025-01-08 19:53:00.006,initial
2025-01-08 19:53:01.008,initial
2025-01-08 19:53:02.001,initial
2025-01-08 19:53:03.005,initial
2025-01-08 19:53:04.005,initial
2025-01-08 19:53:05.000,initial
2025-01-08 19:53:06.005,initial
2025-01-08 19:53:07.005,initial
