timestamp,face
2023-11-22 07:08:47.152,sadness5
2023-11-22 07:08:57.138,anger5
2023-11-22 07:09:02.136,sadness5
2023-11-22 07:09:12.136,anger5
2023-11-22 07:09:22.135,sadness5
2023-11-22 07:09:32.139,anger5
2023-11-22 07:09:37.138,sadness5
2023-11-22 07:09:42.144,anger5
2023-11-22 07:09:47.138,sadness5
2023-11-22 07:09:52.135,anger5
2023-11-22 07:09:57.138,sadness5
2023-11-22 07:10:07.136,sadness5
2023-11-22 07:10:12.136,anger5
2023-11-22 07:10:17.142,sadness5
2023-11-22 07:10:22.138,anger5
2023-11-22 07:10:27.142,sadness5
2023-11-22 07:10:37.139,anger5
2023-11-22 07:10:42.146,sadness5
