timestamp,motion
2025-04-08 10:09:35.953,"LR,0.2,2.0,0.2,0"
2025-04-08 10:09:40.951,"LR,0.0,2.0,0.3,0"
2025-04-08 10:09:50.952,"LR,0.0,2.0,0.3,0"
2025-04-08 10:10:00.962,"LR,0.0,2.0,0.3,0"
2025-04-08 10:10:10.963,"LR,0.0,2.0,0.3,0"
2025-04-08 10:10:20.962,"LR,0.0,2.0,0.3,0"
2025-04-08 10:10:30.958,"LR,0.0,2.0,0.3,0"
2025-04-08 10:10:40.951,"LR,0.0,2.0,0.3,0"
2025-04-08 10:10:50.955,"LR,0.2,2.0,0.6,0"
2025-04-08 10:10:55.950,"LR,0.0,2.0,0.3,0"
2025-04-08 10:11:00.952,"LR,0.2,2.0,0.6,0"
2025-04-08 10:11:10.955,"LR,0.0,2.0,0.3,0"
2025-04-08 10:11:15.958,"LR,0.2,2.0,0.6,0"
2025-04-08 10:11:20.959,"LR,0.0,2.0,0.3,0"
2025-04-08 10:11:30.962,"LR,0.0,2.0,0.3,0"
2025-04-08 10:11:40.957,"LR,0.2,2.0,0.6,0"
2025-04-08 10:11:45.963,"LR,0.0,2.0,0.3,0"
2025-04-08 10:11:55.954,"LR,0.2,2.0,0.6,0"
2025-04-08 10:12:05.958,"LR,0.2,2.0,0.6,0"
2025-04-08 10:12:10.958,"LR,0.0,2.0,0.3,0"
2025-04-08 10:12:15.960,"LR,0.2,2.0,0.6,0"
2025-04-08 10:12:20.966,"LR,0.0,2.0,0.3,0"
