timestamp,motion
2025-05-20 19:25:22.389,"LR,0.2,2.0,0.2,0"
2025-05-20 19:25:32.392,"LR,0.2,2.0,0.2,0"
2025-05-20 19:25:42.397,"LR,0.2,2.0,0.2,0"
2025-05-20 19:25:52.397,"LR,0.2,2.0,0.2,0"
2025-05-20 19:26:02.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:26:12.396,"LR,0.2,2.0,0.2,0"
2025-05-20 19:26:22.397,"LR,0.2,2.0,0.2,0"
2025-05-20 19:26:32.393,"LR,0.2,2.0,0.2,0"
2025-05-20 19:26:42.396,"LR,0.2,2.0,0.2,0"
2025-05-20 19:26:52.397,"LR,0.2,2.0,0.2,0"
2025-05-20 19:27:02.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:27:12.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:27:22.396,"LR,0.2,2.0,0.2,0"
2025-05-20 19:27:32.396,"LR,0.2,2.0,0.2,0"
2025-05-20 19:27:42.423,"LR,0.2,2.0,0.2,0"
2025-05-20 19:27:52.392,"LR,0.2,2.0,0.2,0"
2025-05-20 19:28:02.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:28:12.403,"LR,0.2,2.0,0.2,0"
2025-05-20 19:28:22.400,"LR,0.2,2.0,0.2,0"
2025-05-20 19:28:32.391,"LR,0.2,2.0,0.2,0"
2025-05-20 19:28:42.400,"LR,0.2,2.0,0.2,0"
2025-05-20 19:28:52.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:29:02.400,"LR,0.2,2.0,0.2,0"
2025-05-20 19:29:12.402,"LR,0.2,2.0,0.2,0"
2025-05-20 19:29:22.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:29:32.404,"LR,0.2,2.0,0.2,0"
2025-05-20 19:29:42.403,"LR,0.2,2.0,0.2,0"
2025-05-20 19:29:52.403,"LR,0.2,2.0,0.2,0"
2025-05-20 19:30:02.396,"LR,0.2,2.0,0.2,0"
2025-05-20 19:30:12.397,"LR,0.2,2.0,0.2,0"
2025-05-20 19:30:22.405,"LR,0.2,2.0,0.2,0"
2025-05-20 19:30:32.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:30:42.406,"LR,0.2,2.0,0.2,0"
2025-05-20 19:30:52.394,"LR,0.2,2.0,0.2,0"
2025-05-20 19:31:02.405,"LR,0.2,2.0,0.2,0"
2025-05-20 19:31:12.399,"LR,0.2,2.0,0.2,0"
2025-05-20 19:31:22.402,"LR,0.2,2.0,0.2,0"
2025-05-20 19:31:32.393,"LR,0.2,2.0,0.2,0"
2025-05-20 19:31:42.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:31:52.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:32:02.399,"LR,0.2,2.0,0.2,0"
2025-05-20 19:32:12.390,"LR,0.2,2.0,0.2,0"
2025-05-20 19:32:22.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:32:32.406,"LR,0.2,2.0,0.2,0"
2025-05-20 19:32:42.398,"LR,0.2,2.0,0.2,0"
2025-05-20 19:32:52.394,"LR,0.2,2.0,0.2,0"
2025-05-20 19:33:02.398,"LR,0.2,2.0,0.2,0"
2025-05-20 19:33:12.394,"LR,0.2,2.0,0.2,0"
2025-05-20 19:33:22.402,"LR,0.2,2.0,0.2,0"
2025-05-20 19:33:32.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:33:42.390,"LR,0.2,2.0,0.2,0"
2025-05-20 19:33:52.396,"LR,0.2,2.0,0.2,0"
2025-05-20 19:34:02.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:34:12.397,"LR,0.2,2.0,0.2,0"
2025-05-20 19:34:22.398,"LR,0.2,2.0,0.2,0"
2025-05-20 19:34:32.403,"LR,0.2,2.0,0.2,0"
2025-05-20 19:34:42.405,"LR,0.2,2.0,0.2,0"
2025-05-20 19:34:52.398,"LR,0.2,2.0,0.2,0"
2025-05-20 19:35:02.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:35:12.400,"LR,0.2,2.0,0.2,0"
2025-05-20 19:35:22.401,"LR,0.2,2.0,0.2,0"
2025-05-20 19:35:32.394,"LR,0.2,2.0,0.2,0"
2025-05-20 19:35:42.400,"LR,0.2,2.0,0.2,0"
2025-05-20 19:35:52.397,"LR,0.2,2.0,0.2,0"
2025-05-20 19:36:02.396,"LR,0.2,2.0,0.2,0"
2025-05-20 19:36:12.398,"LR,0.2,2.0,0.2,0"
2025-05-20 19:36:22.390,"LR,0.2,2.0,0.2,0"
2025-05-20 19:36:32.397,"LR,0.2,2.0,0.2,0"
2025-05-20 19:36:42.392,"LR,0.2,2.0,0.2,0"
2025-05-20 19:36:52.398,"LR,0.2,2.0,0.2,0"
2025-05-20 19:37:02.393,"LR,0.2,2.0,0.2,0"
2025-05-20 19:37:12.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:37:22.396,"LR,0.2,2.0,0.2,0"
2025-05-20 19:37:32.392,"LR,0.2,2.0,0.2,0"
2025-05-20 19:37:42.395,"LR,0.2,2.0,0.2,0"
2025-05-20 19:37:52.394,"LR,0.2,2.0,0.2,0"
2025-05-20 19:38:02.397,"LR,0.2,2.0,0.2,0"
2025-05-20 19:38:12.414,"LR,0.2,2.0,0.2,0"
2025-05-20 19:38:22.401,"LR,0.2,2.0,0.2,0"
2025-05-20 19:38:32.397,"LR,0.2,2.0,0.2,0"
