timestamp,emo
2024-12-08 01:17:05.774,Sadness
2024-12-08 01:17:06.773,Sadness
2024-12-08 01:17:07.774,Sadness
2024-12-08 01:17:08.774,Sadness
2024-12-08 01:17:09.774,Sadness
2024-12-08 01:17:10.774,Sadness
2024-12-08 01:17:11.774,Sadness
2024-12-08 01:17:12.775,Sadness
2024-12-08 01:17:13.776,Sadness
2024-12-08 01:17:14.774,Sadness
2024-12-08 01:17:15.774,Sadness
2024-12-08 01:17:16.776,Sadness
2024-12-08 01:17:17.776,Sadness
2024-12-08 01:17:18.774,Sadness
2024-12-08 01:17:19.775,Sadness
2024-12-08 01:17:20.775,Sadness
2024-12-08 01:17:21.774,Sadness
2024-12-08 01:17:22.774,Sadness
2024-12-08 01:17:23.775,Sadness
2024-12-08 01:17:24.774,Sadness
2024-12-08 01:17:25.775,Sadness
2024-12-08 01:17:26.774,Sadness
2024-12-08 01:17:27.775,Sadness
2024-12-08 01:17:28.774,Sadness
2024-12-08 01:17:29.775,Sadness
2024-12-08 01:17:30.774,Sadness
2024-12-08 01:17:31.775,Sadness
2024-12-08 01:17:32.774,Sadness
2024-12-08 01:17:33.775,Sadness
2024-12-08 01:17:34.774,Sadness
2024-12-08 01:17:35.775,Sadness
2024-12-08 01:17:36.774,Sadness
2024-12-08 01:17:37.775,Sadness
2024-12-08 01:17:38.774,Sadness
2024-12-08 01:17:39.775,Sadness
2024-12-08 01:17:40.775,Sadness
2024-12-08 01:17:41.774,Sadness
2024-12-08 01:17:42.775,Sadness
2024-12-08 01:17:43.775,Sadness
2024-12-08 01:17:44.775,Sadness
2024-12-08 01:17:45.775,Sadness
2024-12-08 01:17:46.775,Sadness
2024-12-08 01:17:47.774,Sadness
2024-12-08 01:17:48.775,Sadness
2024-12-08 01:17:49.775,Sadness
2024-12-08 01:17:50.775,Sadness
2024-12-08 01:17:51.774,Sadness
2024-12-08 01:17:52.775,Sadness
2024-12-08 01:17:53.774,Sadness
2024-12-08 01:17:54.775,Sadness
2024-12-08 01:17:55.774,Sadness
2024-12-08 01:17:56.774,Sadness
2024-12-08 01:17:57.775,Sadness
2024-12-08 01:17:58.775,Sadness
2024-12-08 01:17:59.774,Sadness
2024-12-08 01:18:00.774,Sadness
2024-12-08 01:18:01.775,Sadness
2024-12-08 01:18:02.775,Sadness
2024-12-08 01:18:03.773,Sadness
2024-12-08 01:18:04.775,Sadness
2024-12-08 01:18:05.774,Sadness
2024-12-08 01:18:06.774,Sadness
2024-12-08 01:18:07.775,Sadness
2024-12-08 01:18:08.774,Sadness
2024-12-08 01:18:09.775,Sadness
2024-12-08 01:18:10.775,Sadness
2024-12-08 01:18:11.774,Sadness
2024-12-08 01:18:12.775,Sadness
2024-12-08 01:18:13.775,Sadness
2024-12-08 01:18:14.775,Sadness
2024-12-08 01:18:15.775,Sadness
2024-12-08 01:18:16.774,Sadness
2024-12-08 01:18:17.775,Sadness
2024-12-08 01:18:18.775,Sadness
2024-12-08 01:18:19.775,Sadness
2024-12-08 01:18:20.774,Sadness
2024-12-08 01:18:21.775,Sadness
2024-12-08 01:18:22.775,Sadness
2024-12-08 01:18:23.774,Sadness
2024-12-08 01:18:24.775,Sadness
2024-12-08 01:18:25.775,Sadness
2024-12-08 01:18:26.774,Sadness
2024-12-08 01:18:27.775,Sadness
