timestamp,threshold_b_a,threshold_pnn,beta_l_alpha_l,poorsignal,delta,theta,alpha_l,alpha_h,beta_l,beta_h,gamma_l,gamma_m,bpm,ibi,sdnn,cvnn,rmssd,pnn10,pnn20,pnn30,pnn40,pnn50
2024-07-18 14:07:01.482,-1.0,-1.0,0.2191013279970893,0,35795,49234,27485,7673,6022,7313,7604,2897,0,0,0,0,27.387306213378906,0.699999988079071,0.4333333373069763,0.1666666716337204,0.13333334028720856,0.06666667014360428
2024-07-18 14:07:02.150,-1.0,-1.0,0.2191013279970893,0,35795,49234,27485,7673,6022,7313,7604,2897,0,0,0,0,24.709930419921875,0.699999988079071,0.4333333373069763,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:02.202,-1.0,-1.0,0.29909819639278556,0,156135,30380,3992,3065,1194,3874,1421,457,0,0,0,0,24.709930419921875,0.699999988079071,0.4333333373069763,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:02.828,-1.0,-1.0,0.29909819639278556,0,156135,30380,3992,3065,1194,3874,1421,457,0,0,0,0,24.1954402923584,0.6666666865348816,0.4000000059604645,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:03.203,-1.0,-1.0,0.3598374927452118,0,18022,7824,3446,7836,1240,2125,2013,451,0,0,0,0,24.1954402923584,0.6666666865348816,0.4000000059604645,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:03.520,-1.0,-1.0,0.3598374927452118,0,18022,7824,3446,7836,1240,2125,2013,451,0,0,0,0,24.182104110717773,0.6666666865348816,0.4000000059604645,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:04.202,-1.0,-1.0,0.2126984604281934,0,22462,71762,66512,30270,14147,11395,5126,4037,0,0,0,0,24.182104110717773,0.6666666865348816,0.4000000059604645,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:04.246,-1.0,-1.0,0.2126984604281934,0,22462,71762,66512,30270,14147,11395,5126,4037,0,0,0,0,23.96772003173828,0.6666666865348816,0.36666667461395264,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:04.909,-1.0,-1.0,0.2126984604281934,0,22462,71762,66512,30270,14147,11395,5126,4037,0,0,0,0,24.136707305908203,0.6666666865348816,0.4000000059604645,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:05.222,-1.0,-1.0,0.555954051665887,0,475789,83426,19239,34006,10696,14986,16427,7184,0,0,0,0,24.136707305908203,0.6666666865348816,0.4000000059604645,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:05.582,-1.0,-1.0,0.555954051665887,0,475789,83426,19239,34006,10696,14986,16427,7184,0,0,0,0,24.016122817993164,0.6666666865348816,0.4000000059604645,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:06.203,-1.0,-1.0,0.30123979437556697,0,359112,36116,33070,6800,9962,13689,12302,11505,0,0,0,0,24.016122817993164,0.6666666865348816,0.4000000059604645,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:06.276,-1.0,-1.0,0.30123979437556697,0,359112,36116,33070,6800,9962,13689,12302,11505,0,0,0,0,24.455358505249023,0.699999988079071,0.4333333373069763,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:06.987,-1.0,-1.0,0.30123979437556697,0,359112,36116,33070,6800,9962,13689,12302,11505,0,0,0,0,24.200773239135742,0.6666666865348816,0.4000000059604645,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:07.204,-1.0,-1.0,0.15311430527036277,0,13546,37958,29220,13557,4474,16232,17386,12813,0,0,0,0,24.200773239135742,0.6666666865348816,0.4000000059604645,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:07.667,-1.0,-1.0,0.15311430527036277,0,13546,37958,29220,13557,4474,16232,17386,12813,0,0,0,0,24.707319259643555,0.6666666865348816,0.4333333373069763,0.1666666716337204,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:08.195,-1.0,-1.0,0.6750277469478357,0,5377,17789,22525,10333,15205,22619,15006,7141,0,0,0,0,24.707319259643555,0.6666666865348816,0.4333333373069763,0.1666666716337204,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:08.327,-1.0,-1.0,0.6750277469478357,0,5377,17789,22525,10333,15205,22619,15006,7141,0,0,0,0,24.484359741210938,0.6666666865348816,0.4000000059604645,0.1666666716337204,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:09.031,-1.0,-1.0,0.6750277469478357,0,5377,17789,22525,10333,15205,22619,15006,7141,0,0,0,0,24.97740936279297,0.6666666865348816,0.4333333373069763,0.1666666716337204,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:09.199,-1.0,-1.0,6.256297918948522,0,8227,31916,913,18196,5712,13215,18808,5119,0,0,0,0,24.97740936279297,0.6666666865348816,0.4333333373069763,0.1666666716337204,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:09.714,-1.0,-1.0,6.256297918948522,0,8227,31916,913,18196,5712,13215,18808,5119,0,0,0,0,24.686420440673828,0.6666666865348816,0.4333333373069763,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:10.203,-1.0,-1.0,1.9692038877361582,0,11371,6771,9157,13071,18032,6362,2382,4804,0,0,0,0,24.686420440673828,0.6666666865348816,0.4333333373069763,0.13333334028720856,0.10000000149011612,0.03333333507180214
2024-07-18 14:07:10.451,-1.0,-1.0,1.9692038877361582,0,11371,6771,9157,13071,18032,6362,2382,4804,0,0,0,0,27.70349884033203,0.699999988079071,0.46666666865348816,0.1666666716337204,0.13333334028720856,0.06666667014360428
2024-07-18 14:07:10.904,-1.0,-1.0,1.9692038877361582,0,11371,6771,9157,13071,18032,6362,2382,4804,0,0,0,0,58.343807220458984,0.7333333492279053,0.5,0.20000000298023224,0.1666666716337204,0.10000000149011612
2024-07-18 14:07:11.198,-1.0,-1.0,0.11571671171278912,0,24949,64360,41809,36252,4838,10157,6330,4118,0,0,0,0,58.343807220458984,0.7333333492279053,0.5,0.20000000298023224,0.1666666716337204,0.10000000149011612
2024-07-18 14:07:11.255,-1.0,-1.0,0.11571671171278912,0,24949,64360,41809,36252,4838,10157,6330,4118,0,0,0,0,60.53205108642578,0.7333333492279053,0.5,0.20000000298023224,0.1666666716337204,0.13333334028720856
2024-07-18 14:07:12.200,-1.0,-1.0,0.05272460606972284,0,7391,103112,53182,3284,2804,11136,6731,1946,0,0,0,0,60.53205108642578,0.7333333492279053,0.5,0.20000000298023224,0.1666666716337204,0.13333334028720856
2024-07-18 14:07:12.630,-1.0,-1.0,0.05272460606972284,0,7391,103112,53182,3284,2804,11136,6731,1946,0,0,0,0,194.2705078125,0.7333333492279053,0.5333333611488342,0.23333333432674408,0.20000000298023224,0.1666666716337204
2024-07-18 14:07:13.198,-1.0,-1.0,1.5762081784386617,0,87569,17974,538,4502,848,3436,1112,788,0,0,0,0,194.2705078125,0.7333333492279053,0.5333333611488342,0.23333333432674408,0.20000000298023224,0.1666666716337204
2024-07-18 14:07:13.468,-1.0,-1.0,1.5762081784386617,0,87569,17974,538,4502,848,3436,1112,788,0,0,0,0,217.40640258789062,0.7333333492279053,0.5333333611488342,0.2666666805744171,0.23333333432674408,0.20000000298023224
2024-07-18 14:07:14.023,-1.0,-1.0,1.5762081784386617,0,87569,17974,538,4502,848,3436,1112,788,0,0,0,0,223.44024658203125,0.7333333492279053,0.5333333611488342,0.30000001192092896,0.2666666805744171,0.23333333432674408
2024-07-18 14:07:14.197,-1.0,-1.0,0.24051241955854935,0,7549,8652,16627,36435,3999,10598,11711,2236,0,0,0,0,223.44024658203125,0.7333333492279053,0.5333333611488342,0.30000001192092896,0.2666666805744171,0.23333333432674408
2024-07-18 14:07:14.672,-1.0,-1.0,0.24051241955854935,0,7549,8652,16627,36435,3999,10598,11711,2236,0,0,0,0,224.14251708984375,0.7333333492279053,0.5666666626930237,0.3333333432674408,0.30000001192092896,0.2666666805744171
2024-07-18 14:07:15.214,-1.0,-1.0,0.1603307062277855,0,6258,9006,51768,14134,8300,5470,5180,1410,0,0,0,0,224.14251708984375,0.7333333492279053,0.5666666626930237,0.3333333432674408,0.30000001192092896,0.2666666805744171
2024-07-18 14:07:15.445,-1.0,-1.0,0.1603307062277855,0,6258,9006,51768,14134,8300,5470,5180,1410,0,0,0,0,224.1163330078125,0.699999988079071,0.5666666626930237,0.3333333432674408,0.30000001192092896,0.2666666805744171
