timestamp,Enter,Shift
2024-07-18 15:55:05.292,0,1
2024-07-18 15:55:05.567,0,1
2024-07-18 15:55:05.808,1,0
2024-07-18 15:55:06.029,0,1
2024-07-18 15:55:06.284,1,0
2024-07-18 15:55:06.516,0,1
2024-07-18 15:55:06.749,1,0
2024-07-18 15:55:06.957,0,1
2024-07-18 15:55:07.195,1,0
