timestamp,NoRobot,NoChangeMy,NoChangeRobot
2024-07-18 18:40:36.171,1,0,0
2024-07-18 18:40:44.950,0,1,0
2024-07-18 18:40:53.753,1,0,0
2024-07-18 18:41:04.565,0,1,0
