timestamp,stimu,emo,threshold_b_a,beta_l_alpha_l,poorsignal,delta,theta,alpha_l,alpha_h,beta_l,beta_h,gamma_l,gamma_m,threshold_pnn,bpm,ibi,sdnn,cvnn,rmssd,pnn10,pnn20,pnn30,pnn40,pnn50
2023-11-22 06:07:02.410,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:03.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:04.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:05.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:06.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:07.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:08.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:09.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:10.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:11.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:12.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:13.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:14.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:15.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:16.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:17.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22 06:07:18.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:19.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:20.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:21.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:22.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:23.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:24.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:25.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:26.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:27.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:28.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:29.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:30.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:31.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:32.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:33.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:34.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:35.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:36.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:37.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:38.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:39.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:40.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,66,898,158.662841796875,5.477225303649902,161.2855682373047,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214,0.03333333507180214
2023-11-22 06:07:41.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,50,1196,259.98590087890625,3.848884105682373,221.37547302246094,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428
2023-11-22 06:07:42.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,50,1196,259.98590087890625,3.848884105682373,221.37547302246094,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428
2023-11-22 06:07:43.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,50,1196,259.98590087890625,3.848884105682373,221.37547302246094,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428
2023-11-22 06:07:44.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,50,1196,259.98590087890625,3.848884105682373,221.37547302246094,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428
2023-11-22 06:07:45.409,Rest2,Sadness,1.0,0,0,0,0,0,0,0,0,0,0,0.236,50,1196,259.98590087890625,3.848884105682373,221.37547302246094,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428
