timestamp,threshold_b_a,threshold_pnn,beta_l_alpha_l,poorsignal,delta,theta,alpha_l,alpha_h,beta_l,beta_h,gamma_l,gamma_m,bpm,ibi,sdnn,cvnn,rmssd,pnn10,pnn20,pnn30,pnn40,pnn50
2024-07-17 21:49:18.542,-1.0,-1.0,0.6177744901194124,0,227457,15210,9463,3745,5846,37835,18045,7683,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 21:49:18.680,-1.0,-1.0,0.6177744901194124,0,227457,15210,9463,3745,5846,37835,18045,7683,0,0,0,0,121.31111907958984,0.5666666626930237,0.5,0.36666667461395264,0.2666666805744171,0.20000000298023224
2024-07-17 21:49:19.292,-1.0,-1.0,0.6177744901194124,0,227457,15210,9463,3745,5846,37835,18045,7683,0,0,0,0,112.4277572631836,0.6000000238418579,0.5333333611488342,0.4000000059604645,0.30000001192092896,0.23333333432674408
2024-07-17 21:49:19.409,-1.0,-1.0,1.2507180960196964,0,235400,49370,2437,836,3048,29268,14570,985,0,0,0,0,112.4277572631836,0.6000000238418579,0.5333333611488342,0.4000000059604645,0.30000001192092896,0.23333333432674408
2024-07-17 21:49:19.936,-1.0,-1.0,1.2507180960196964,0,235400,49370,2437,836,3048,29268,14570,985,0,0,0,0,117.69287872314453,0.6333333253860474,0.5666666626930237,0.4000000059604645,0.30000001192092896,0.23333333432674408
2024-07-17 21:49:20.410,-1.0,-1.0,0.1864699398398385,0,2376143,299293,150598,44903,28082,133935,93902,12841,0,0,0,0,117.69287872314453,0.6333333253860474,0.5666666626930237,0.4000000059604645,0.30000001192092896,0.23333333432674408
2024-07-17 21:49:20.625,-1.0,-1.0,0.1864699398398385,0,2376143,299293,150598,44903,28082,133935,93902,12841,0,0,0,0,125.51314544677734,0.6666666865348816,0.6000000238418579,0.4333333373069763,0.3333333432674408,0.23333333432674408
2024-07-17 21:49:21.340,-1.0,-1.0,0.1864699398398385,0,2376143,299293,150598,44903,28082,133935,93902,12841,0,0,0,0,130.439453125,0.699999988079071,0.6333333253860474,0.4333333373069763,0.3333333432674408,0.23333333432674408
2024-07-17 21:49:21.403,-1.0,-1.0,2.760005309617044,0,1642874,178762,15067,18773,41585,40506,34903,15529,0,0,0,0,130.439453125,0.699999988079071,0.6333333253860474,0.4333333373069763,0.3333333432674408,0.23333333432674408
2024-07-17 21:49:22.026,-1.0,-1.0,2.760005309617044,0,1642874,178762,15067,18773,41585,40506,34903,15529,0,0,0,0,122.16435241699219,0.7333333492279053,0.6666666865348816,0.46666666865348816,0.36666667461395264,0.23333333432674408
2024-07-17 21:49:22.409,-1.0,-1.0,0.39842842500854114,0,597107,292642,43905,21929,17493,63865,40205,55839,0,0,0,0,122.16435241699219,0.7333333492279053,0.6666666865348816,0.46666666865348816,0.36666667461395264,0.23333333432674408
2024-07-17 21:49:22.669,-1.0,-1.0,0.39842842500854114,0,597107,292642,43905,21929,17493,63865,40205,55839,0,0,0,0,119.79767608642578,0.7666666507720947,0.6666666865348816,0.46666666865348816,0.36666667461395264,0.23333333432674408
2024-07-17 21:49:23.414,-1.0,-1.0,0.3722474439428047,0,1020739,155252,79517,29541,29600,82494,28528,11112,0,0,0,0,119.79767608642578,0.7666666507720947,0.6666666865348816,0.46666666865348816,0.36666667461395264,0.23333333432674408
2024-07-17 21:49:23.467,-1.0,-1.0,0.3722474439428047,0,1020739,155252,79517,29541,29600,82494,28528,11112,0,0,0,0,42.652381896972656,0.7666666507720947,0.6666666865348816,0.46666666865348816,0.36666667461395264,0.23333333432674408
