timestamp,threshold_b_a,beta_l_alpha_l,poorsignal,delta,theta,alpha_l,alpha_h,beta_l,beta_h,gamma_l,gamma_m
2023-11-22 06:06:48.402,1.0,0.35706036449677475,200,359447,294204,426012,307170,0,475226,116454,1247320
2023-11-22 06:06:48.626,1.0,0.45291180945913656,200,301710,95103,79521,92306,0,80445,29384,281644
2023-11-22 06:06:48.954,1.0,0.752516566074368,200,757038,279855,189544,139770,0,448695,65061,1611929
2023-11-22 06:06:48.991,1.0,0.3068510957840867,200,660001,467088,475413,330647,0,673959,172072,1065660
2023-11-22 06:06:49.460,1.0,0.3068510957840867,200,660001,467088,475413,330647,0,673959,172072,1065660
2023-11-22 06:06:49.825,1.0,1.7629217196755904,200,1687386,668881,39333,494925,0,574843,162200,990832
2023-11-22 06:06:50.288,1.0,3.5232610456222444,200,1341260,379647,44452,116124,0,604764,192459,1515414
2023-11-22 06:06:51.279,1.0,0.5630170842675268,200,512185,608825,305076,337693,0,682025,161128,1025696
2023-11-22 06:06:52.227,1.0,0.5123170973555101,200,973479,612245,115977,189453,0,584722,134653,1595990
2023-11-22 06:06:54.275,1.0,0.5246678705017412,200,445844,525467,496192,222870,0,227810,114613,1534620
2023-11-22 06:06:56.191,1.0,0.4172554384512227,200,977850,626570,111107,405873,0,627322,169822,666219
2023-11-22 06:06:57.200,1.0,0.21131248658039078,200,1070769,507668,204924,284513,0,646977,90374,1114858
2023-11-22 06:06:58.277,1.0,0.47136575172113176,200,1178981,612743,78001,621829,0,682452,240164,1002696
2023-11-22 06:06:59.593,1.0,6.300748288489094,200,1537376,492015,12562,452010,0,654221,91336,1109634
2023-11-22 06:07:00.310,1.0,0.9736747734237465,200,2567487,197625,61348,585897,0,845694,229468,613397
2023-11-22 06:07:02.348,1.0,1.2802129095798245,200,757547,531016,90367,211725,0,641430,218474,1514716
2023-11-22 06:07:03.288,1.0,4.094098391764315,200,1714585,557687,42158,219567,0,893991,237870,1203245
2023-11-22 06:07:04.207,1.0,0.6249772030662611,200,1458308,423000,169979,132328,0,442659,60625,1963917
2023-11-22 06:07:05.295,1.0,0.31191866140195096,200,607298,616971,317586,430842,0,397842,85881,1068901
2023-11-22 06:07:06.306,1.0,0.5024845652452129,200,697822,1337804,453198,369595,0,600101,149047,733687
2023-11-22 06:07:07.176,1.0,0.4609324543338654,200,509716,1211311,164126,286501,0,410530,182018,728965
2023-11-22 06:07:08.305,1.0,1.377821960955371,200,2399548,632190,197159,250819,0,272203,87495,677211
2023-11-22 06:07:09.276,1.0,2.7311126986961956,200,1464092,1293099,22396,275464,0,288982,195613,1351095
