timestamp,threshold_b_a,beta_l_alpha_l,poorsignal,delta,theta,alpha_l,alpha_h,beta_l,beta_h,gamma_l,gamma_m
2023-11-22 06:04:44.781,1.0,0.3918287667609955,200,390828,148901,604976,77116,0,117387,186433,97857
2023-11-22 06:04:45.751,1.0,0.3765649844575914,200,333930,326268,558472,54856,0,173195,71672,217100
2023-11-22 06:04:46.827,1.0,1.9452852541557144,200,313476,185588,270110,125009,0,82746,108953,88487
2023-11-22 06:04:48.509,1.0,1.1583281524770415,200,246035,296916,281485,56573,0,108868,137081,136920
2023-11-22 06:04:49.748,1.0,3.396067074756793,200,485013,98531,57667,63101,0,152080,70381,92408
2023-11-22 06:04:50.743,1.0,0.9392456752715527,200,463074,164203,430027,39690,0,121480,110078,138222
2023-11-22 06:04:51.767,1.0,1.2168032194005707,200,474894,505065,152078,124477,0,118626,311226,97414
2023-11-22 06:04:52.763,1.0,0.968382636489769,200,691231,575564,251539,33703,0,100675,103360,83694
2023-11-22 06:04:53.812,1.0,4.644419349634717,200,531512,411564,43391,81512,0,74596,99907,53361
2023-11-22 06:04:54.751,1.0,0.14468513639675964,200,318269,519462,517351,81988,0,109680,68280,92977
2023-11-22 06:04:55.770,1.0,2.6462097391701014,200,182941,472015,122762,91136,0,114037,147775,90308
2023-11-22 06:04:56.766,1.0,0.8104451689570066,200,289974,402194,295371,168904,0,128896,237413,49826
2023-11-22 06:04:57.752,1.0,0.5552365868144922,200,63502,110959,60612,27234,0,19446,16473,35956
2023-11-22 06:04:58.791,1.0,1.673034646549948,200,112270,377729,441689,148429,0,129231,51794,120903
2023-11-22 06:04:59.770,1.0,0.19193116498268414,200,846614,621390,560180,209267,0,153461,88652,40842
2023-11-22 06:05:00.808,1.0,0.5882005735001455,200,757649,457914,250741,63060,0,286904,91466,73186
2023-11-22 06:05:01.746,1.0,1.0612782195839845,200,461669,347780,202829,94695,0,141123,74805,130118
2023-11-22 06:05:02.839,1.0,1.8702623409408794,200,82575,108183,29313,26465,0,17998,27339,15537
2023-11-22 06:05:03.747,1.0,0.548840841175827,200,213679,512849,466157,92431,0,143042,100792,72843
2023-11-22 06:05:04.780,1.0,0.27609051197648177,200,99153,566921,483030,148203,0,223230,118993,90710
2023-11-22 06:05:06.791,1.0,2.2722472180244537,200,526980,318905,116464,187905,0,139631,264598,66885
2023-11-22 06:05:07.807,1.0,15.229841324743829,200,116969,327243,23129,229606,0,212976,79072,93984
2023-11-22 06:05:08.741,1.0,2.1202757284754563,200,242710,579363,97052,147774,0,184391,129129,70886
2023-11-22 06:05:09.748,1.0,0.6316112988696385,200,103284,839129,463657,59969,0,115548,177192,109022
2023-11-22 06:05:10.793,1.0,3.0890714703152393,200,341629,1210646,87267,252197,0,152859,130216,227369
2023-11-22 06:05:11.783,1.0,1.1012067108248722,200,565971,651227,174524,111587,0,87821,2023-11-22 06:05:40.640,0.236,54,1110,237.58570861816406,0.5055015087127686,257.64190673828125,0.9333333373069763,0.9333333373069763,0.8999999761581421,0.8333333134651184,0.800000011920929
2023-11-22 06:05:41.329,0.236,56,668,213.56976318359375,0.46756091713905334,262.24957275390625,0.9333333373069763,0.9333333373069763,0.8999999761581421,0.8333333134651184,0.800000011920929
2023-11-22 06:05:42.010,0.236,59,616,209.78134155273438,0.4629945755004883,259.7944641113281,0.9333333373069763,0.9333333373069763,0.8999999761581421,0.8333333134651184,0.800000011920929
2023-11-22 06:05:42.411,0.236,63,370,209.8668975830078,0.46831801533699036,259.9754333496094,0.9333333373069763,0.9333333373069763,0.8999999761581421,0.8333333134651184,0.800000011920929
2023-11-22 06:05:43.510,0.236,63,1074,234.8651885986328,0.4959011375904083,263.51080322265625,0.9333333373069763,0.9333333373069763,0.8999999761581421,0.8333333134651184,0.800000011920929
2023-11-22 06:05:44.257,0.236,67,644,220.91827392578125,0.4762493968009949,267.6367492675781,0.9333333373069763,0.9333333373069763,0.8999999761581421,0.8333333134651184,0.800000011920929
2023-11-22 06:05:44.707,0.236,73,386,219.8126983642578,0.48116040229797363,268.118408203125,0.9333333373069763,0.9333333373069763,0.8999999761581421,0.8333333134651184,0.800000011920929
2023-11-22 06:05:45.057,0.236,81,252,222.19000244140625,0.49017152190208435,269.12713623046875,0.9333333373069763,0.9333333373069763,0.8999999761581421,0.8666666746139526,0.8333333134651184
2023-11-22 06:05:46.190,0.236,81,1118,250.94412231445312,0.5265511870384216,310.2342529296875,0.9333333373069763,0.9333333373069763,0.8999999761581421,0.8666666746139526,0.8333333134651184
2023-11-22 06:05:46.981,0.236,85,754,253.14508056640625,0.5149276256561279,310.4593811035156,0.9333333373069763,0.9333333373069763,0.8999999761581421,0.8666666746139526,0.8333333134651184
