timestamp,threshold_b_a,beta_l_alpha_l,poorsignal,delta,theta,alpha_l,alpha_h,beta_l,beta_h,gamma_l,gamma_m
2023-11-22 06:57:17.085,1.0,0.7381359860234606,200,375241,1198024,168282,186876,0,33750,17879,8184
2023-11-22 06:57:17.094,1.0,3.6996805941468227,200,575186,298367,38509,178358,0,24711,7229,8106
2023-11-22 06:57:17.106,1.0,0.5382547284190107,200,715514,287450,329920,67933,0,62587,14097,10067
2023-11-22 06:57:17.127,1.0,0.5519162948385714,200,284859,384042,51323,153074,0,17649,9883,3776
2023-11-22 06:57:17.964,1.0,0.5256874492505541,200,315325,860828,91134,172468,0,25518,11332,4310
2023-11-22 06:57:19.954,1.0,1.3131210094827912,200,390865,159030,79407,130268,0,38056,13171,7639
2023-11-22 06:57:20.997,1.0,0.2681290306938855,200,632170,676379,164984,89266,0,39193,14739,7666
2023-11-22 06:57:23.021,1.0,1.061356132750625,200,809125,363148,52399,95812,0,45166,13314,5153
2023-11-22 06:57:23.956,1.0,0.17043390748088424,200,495992,964670,172894,247357,0,28212,13026,12217
2023-11-22 06:57:24.947,1.0,0.17295795947772347,200,980918,1195263,335914,95919,0,46139,7778,10274
2023-11-22 06:57:25.962,1.0,0.09340545864125621,200,183483,1011340,1360595,92849,0,85082,35748,12385
2023-11-22 06:57:26.956,1.0,0.43544466357840667,200,268776,1529475,43606,19299,0,14624,4596,3264
2023-11-22 06:57:27.983,1.0,1.758477763620454,200,506120,844807,65141,92717,0,53330,16990,15179
2023-11-22 06:57:29.022,1.0,0.7790502890273752,200,369194,1036283,230428,42479,0,20494,7837,14409
2023-11-22 06:57:29.961,1.0,1.5323296514853482,200,589833,116322,79308,322019,0,14768,15008,9060
2023-11-22 06:57:31.959,1.0,3.5284269351561055,200,444413,214787,43304,130040,0,30520,16648,12921
2023-11-22 06:57:32.950,1.0,0.1568995193165327,200,429504,361407,207413,113118,0,15091,23320,10841
2023-11-22 06:57:34.947,1.0,1.2739669478348217,200,324822,922338,72673,179433,0,22608,12794,7298
2023-11-22 06:57:36.955,1.0,0.38626315789473686,200,66655,2319266,19000,15911,0,13350,5476,3085
2023-11-22 06:57:37.981,1.0,0.41855813193990854,200,91332,249927,24496,52279,0,6111,6970,4012
2023-11-22 06:57:39.010,1.0,1.1436634448932488,200,575160,894161,55456,148795,0,24634,7537,9452
2023-11-22 06:57:41.963,1.0,0.25054744525547445,200,49839,151606,54800,63330,0,9114,1603,2295
2023-11-22 06:57:46.958,1.0,0.18106730533038565,200,719798,1703761,97704,100606,0,50297,7147,10592
2023-11-22 06:57:47.979,1.0,0.8203363800748061,200,405573,1476211,201855,96391,0,44868,24266,29110
2023-11-22 06:57:49.952,1.0,0.1312407009423045,200,85201,146622,48392,23782,0,13751,3561,2385
2023-11-22 06:57:50.953,1.0,0.3284639069449196,200,138573,54718,29230,21423,0,23794,1327,2384
2023-11-22 06:57:55.979,1.0,0.26299937288569736,200,198254,529972,339651,45990,0,83316,12693,18314
2023-11-22 06:57:56.967,1.0,0.8815495992022107,200,457317,433066,131363,87717,0,76323,18546,17026
2023-11-22 06:57:59.973,1.0,0.24149633439778223,200,785885,1858258,244571,54825,0,34170,8829,4392
2023-11-22 06:58:00.975,1.0,0.15177913846583915,200,771605,545395,372034,188395,0,47127,7841,7532
2023-11-22 06:58:04.980,1.0,0.2369190546630431,200,68955,206694,58138,14749,0,5074,10714,1918
2023-11-22 06:58:05.970,1.0,0.12172189562674725,200,605506,597124,326942,249293,0,28031,19511,20057
2023-11-22 06:58:06.948,1.0,0.1708024158088296,200,150275,423072,1031373,68427,0,63939,17638,8193
2023-11-22 06:58:07.972,1.0,0.5912758771816752,200,535605,791113,77578,105569,0,54983,10888,7915
2023-11-22 06:58:08.949,1.0,0.49088868571649713,200,430961,565073,206721,37481,0,39800,14249,6086
2023-11-22 06:58:11.974,1.0,0.13974348265909364,200,625683,718905,215502,67827,0,13085,16997,15668
2023-11-22 06:58:12.970,1.0,0.6058162181303116,200,503959,1515917,112960,41484,0,63575,28336,30760
2023-11-22 06:58:14.950,1.0,0.194025474420023,200,358689,370074,170524,117373,0,13774,14696,14681
2023-11-22 06:58:15.951,1.0,0.3365818623110786,200,216755,394696,161509,106758,0,25616,27320,13301
2023-11-22 06:58:17.953,1.0,0.49223536868793577,200,448517,194854,151456,89131,0,48899,15185,17936
2023-11-22 06:58:19.009,1.0,0.09123237495777102,200,91329,152836,56241,49155,0,9653,2580,1947
2023-11-22 06:58:19.951,1.0,0.7117813412260785,200,357256,2400727,197312,109825,0,14804,7352,16937
2023-11-22 06:58:20.955,1.0,0.8955963002373741,200,91285,310067,24434,41194,0,16335,5885,4163
2023-11-22 06:58:21.944,1.0,1.0222706037102554,200,76980,164292,22047,41705,0,16917,1738,2092
2023-11-22 06:58:22.978,1.0,1.0621262667589852,200,592964,382315,47661,291618,0,21531,22904,5722
2023-11-22 06:58:23.983,1.0,0.4207400956047545,200,252426,1856600,101041,137787,0,21173,18337,5187
2023-11-22 06:58:24.978,1.0,0.26743535988819006,200,105517,242386,57240,21061,0,12134,1840,1598
2023-11-22 06:58:30.967,1.0,0.09089087928134999,200,459152,1205415,189689,86352,0,14838,20358,9759
2023-11-22 06:58:31.950,1.0,0.44448096575629,200,97044,93650,33466,31958,0,8049,2894,4085
2023-11-22 06:58:32.948,1.0,1.677734972176359,200,442544,479722,32706,82921,0,40384,18793,9969
