timestamp,threshold_b_a,beta_l_alpha_l,poorsignal,delta,theta,alpha_l,alpha_h,beta_l,beta_h,gamma_l,gamma_m
2023-11-22 06:06:32.678,1.0,0,0,0,0,0,0,0,0,0,0
2023-11-22 06:06:33.683,1.0,0.48982663449109987,80,496361,512915,517577,48387,0,255469,148055,324745
2023-11-22 06:10:02.750,1.0,0.48982663449109987,0,0,0,0,0,0,0,0,0
2023-11-22 06:10:03.732,1.0,0.5868102330284275,80,411850,891110,318459,208359,0,158608,141808,93233
2023-11-22 06:10:04.815,1.0,1.2342059013967255,80,103766,425150,10811,43832,0,8441,3915,3808
2023-11-22 06:10:05.731,1.0,0.7633647633001992,80,1881237,1155111,758936,540413,0,821644,355965,338547
2023-11-22 06:10:07.908,1.0,1.008865566703446,200,711985,498601,155884,36235,0,169600,157363,56904
2023-11-22 06:10:08.732,1.0,0.7235015218918286,200,590403,474493,170840,85888,0,87763,84236,142708
2023-11-22 06:10:09.756,1.0,0.25576599717657217,200,168158,897735,333637,28816,0,53994,46137,48886
2023-11-22 06:10:11.761,1.0,3.0690633869441815,200,9503,342793,1057,1656,0,3544,1720,2438
2023-11-22 06:10:12.920,1.0,0.6849290743100674,200,140407,635859,95734,113043,0,12217,7492,5757
2023-11-22 06:10:13.733,1.0,3.0254840162089147,200,222717,262523,44420,73943,0,113615,2811,8048
2023-11-22 06:10:14.732,1.0,1.3493520039057298,200,172887,513689,90124,99134,0,120363,88439,93063
2023-11-22 06:10:15.730,1.0,0.24295120061967468,200,446311,207429,258200,78315,0,114570,60779,132189
2023-11-22 06:10:16.763,1.0,0.7439248497030742,200,907500,137094,272627,207019,0,76275,42391,109521
2023-11-22 06:10:17.752,1.0,0.6529730562102463,200,404162,289535,233783,155427,0,165344,87128,64708
2023-11-22 06:10:18.755,1.0,0.2016884010539919,200,307015,913108,297915,119265,0,221238,74094,97960
2023-11-22 06:10:19.750,1.0,1.6673607122343481,200,156156,216642,55712,10332,0,93818,132338,133828
2023-11-22 06:10:20.731,1.0,0.5023032360672759,200,443214,1316830,121351,597426,0,216217,178872,287775
2023-11-22 06:10:21.761,1.0,0.21400687914449382,200,600073,903004,314574,183872,0,209385,477008,560182
2023-11-22 06:10:22.731,1.0,2.0,200,3,72,1,2,0,0,1,56
2023-11-22 06:10:23.759,1.0,0.13837377949289062,200,117515,1262738,154444,345341,0,24971,29384,454847
2023-11-22 06:10:24.766,1.0,1.7454554011232077,200,1592350,1080937,318730,931503,0,364069,194913,297471
2023-11-22 06:10:25.733,1.0,2.547177628171932,200,66896,24355,9655,33546,0,20364,32026,41318
2023-11-22 06:10:26.758,1.0,2.2659093938361745,200,224932,138903,67523,23344,0,71201,58345,151255
2023-11-22 06:10:27.754,1.0,1.8520118152257552,200,86692,460958,40287,174623,0,120314,63739,280035
2023-11-22 06:10:28.758,1.0,1.8063331348024618,200,182680,1188383,20148,79979,0,108885,75862,94045
2023-11-22 06:10:29.765,1.0,0.15767753075760846,200,346470,284854,347475,142649,0,72931,124231,80207
2023-11-22 06:10:31.736,1.0,0.3681510029717682,200,376512,237582,129216,60197,0,69554,72946,137429
2023-11-22 06:10:32.793,1.0,0.4851513275542426,200,1573873,2374320,608977,358488,0,539013,497148,304651
2023-11-22 06:10:33.737,1.0,0.8161316637836138,200,259376,1330444,203488,217854,0,146367,117035,127302
2023-11-22 06:10:34.769,1.0,1.7705144366408547,200,231603,1104129,83295,309675,0,204357,37953,88879
2023-11-22 06:10:35.755,1.0,2.528151172841346,200,271058,870273,67102,50890,0,208956,103886,57890
2023-11-22 06:10:36.807,1.0,0.24266372962293853,200,444705,963679,1893060,416268,0,695872,538246,640187
